date,revenue,expenses,profit,assets,liabilities,department
2023-Q1,150000,120000,30000,500000,200000,Operations
2023-Q1,80000,60000,20000,300000,100000,Marketing
2023-Q1,200000,150000,50000,800000,300000,Sales
2023-Q2,180000,140000,40000,520000,210000,Operations
2023-Q2,95000,70000,25000,320000,105000,Marketing
2023-Q2,250000,180000,70000,850000,320000,Sales
2023-Q3,200000,160000,40000,540000,220000,Operations
2023-Q3,110000,80000,30000,340000,110000,Marketing
2023-Q3,280000,200000,80000,900000,340000,Sales
2023-Q4,220000,170000,50000,560000,230000,Operations
2023-Q4,125000,90000,35000,360000,115000,Marketing
2023-Q4,320000,230000,90000,950000,360000,Sales
